date_id,customer_id,lane_id,driver,driver_sort,amount_usd,driver_type,is_synthetic
2025-01,C001,L001,Price / Yield,1,-2415.76,Unfavorable,TRUE
2025-01,C001,L001,Carrier Buy Rate,2,-6310.49,Unfavorable,TRUE
2025-01,C001,L001,Fuel Surcharge,3,-5967.84,Unfavorable,TRUE
2025-01,C001,L001,Demurrage & Detention,4,-6078.47,Unfavorable,TRUE
2025-01,C001,L001,Claims Leakage,5,-1063.06,Unfavorable,TRUE
2025-01,C001,L001,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C001,L001,Other / Rounding,7,11389.55,Favorable,TRUE
2025-01,C001,L002,Price / Yield,1,-7969.79,Unfavorable,TRUE
2025-01,C001,L002,Carrier Buy Rate,2,-2692.34,Unfavorable,TRUE
2025-01,C001,L002,Fuel Surcharge,3,-3828.34,Unfavorable,TRUE
2025-01,C001,L002,Demurrage & Detention,4,-994.15,Unfavorable,TRUE
2025-01,C001,L002,Claims Leakage,5,-833.56,Unfavorable,TRUE
2025-01,C001,L002,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C001,L002,Other / Rounding,7,-12557.45,Unfavorable,TRUE
2025-01,C001,L005,Price / Yield,1,-8741.42,Unfavorable,TRUE
2025-01,C001,L005,Carrier Buy Rate,2,-3888.74,Unfavorable,TRUE
2025-01,C001,L005,Fuel Surcharge,3,-2624.43,Unfavorable,TRUE
2025-01,C001,L005,Demurrage & Detention,4,-1076.19,Unfavorable,TRUE
2025-01,C001,L005,Claims Leakage,5,-3131.99,Unfavorable,TRUE
2025-01,C001,L005,Utilization Mix,6,-10.57,Unfavorable,TRUE
2025-01,C001,L005,Other / Rounding,7,-9711.95,Unfavorable,TRUE
2025-01,C001,L006,Price / Yield,1,-3862.36,Unfavorable,TRUE
2025-01,C001,L006,Carrier Buy Rate,2,-2330.02,Unfavorable,TRUE
2025-01,C001,L006,Fuel Surcharge,3,-5591.06,Unfavorable,TRUE
2025-01,C001,L006,Demurrage & Detention,4,-0.0,Favorable,TRUE
2025-01,C001,L006,Claims Leakage,5,-0.0,Favorable,TRUE
2025-01,C001,L006,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C001,L006,Other / Rounding,7,-3606.03,Unfavorable,TRUE
2025-01,C001,L007,Price / Yield,1,-5876.17,Unfavorable,TRUE
2025-01,C001,L007,Carrier Buy Rate,2,-1959.59,Unfavorable,TRUE
2025-01,C001,L007,Fuel Surcharge,3,-2525.14,Unfavorable,TRUE
2025-01,C001,L007,Demurrage & Detention,4,-687.9,Unfavorable,TRUE
2025-01,C001,L007,Claims Leakage,5,-3.5,Unfavorable,TRUE
2025-01,C001,L007,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C001,L007,Other / Rounding,7,-17847.43,Unfavorable,TRUE
2025-01,C001,L011,Price / Yield,1,-7142.49,Unfavorable,TRUE
2025-01,C001,L011,Carrier Buy Rate,2,-2066.03,Unfavorable,TRUE
2025-01,C001,L011,Fuel Surcharge,3,-4382.48,Unfavorable,TRUE
2025-01,C001,L011,Demurrage & Detention,4,-27.93,Unfavorable,TRUE
2025-01,C001,L011,Claims Leakage,5,-2342.0,Unfavorable,TRUE
2025-01,C001,L011,Utilization Mix,6,-885.43,Unfavorable,TRUE
2025-01,C001,L011,Other / Rounding,7,-14051.06,Unfavorable,TRUE
2025-01,C001,L012,Price / Yield,1,-4393.45,Unfavorable,TRUE
2025-01,C001,L012,Carrier Buy Rate,2,-385.92,Unfavorable,TRUE
2025-01,C001,L012,Fuel Surcharge,3,-279.03,Unfavorable,TRUE
2025-01,C001,L012,Demurrage & Detention,4,-361.17,Unfavorable,TRUE
2025-01,C001,L012,Claims Leakage,5,-36.8,Unfavorable,TRUE
2025-01,C001,L012,Utilization Mix,6,-11.52,Unfavorable,TRUE
2025-01,C001,L012,Other / Rounding,7,-10921.39,Unfavorable,TRUE
2025-01,C002,L001,Price / Yield,1,-10021.02,Unfavorable,TRUE
2025-01,C002,L001,Carrier Buy Rate,2,-7768.81,Unfavorable,TRUE
2025-01,C002,L001,Fuel Surcharge,3,-5209.89,Unfavorable,TRUE
2025-01,C002,L001,Demurrage & Detention,4,-0.0,Favorable,TRUE
2025-01,C002,L001,Claims Leakage,5,-0.0,Favorable,TRUE
2025-01,C002,L001,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C002,L001,Other / Rounding,7,-4992.9,Unfavorable,TRUE
2025-01,C002,L004,Price / Yield,1,-3332.88,Unfavorable,TRUE
2025-01,C002,L004,Carrier Buy Rate,2,-196.77,Unfavorable,TRUE
2025-01,C002,L004,Fuel Surcharge,3,-383.89,Unfavorable,TRUE
2025-01,C002,L004,Demurrage & Detention,4,-154.37,Unfavorable,TRUE
2025-01,C002,L004,Claims Leakage,5,-19.65,Unfavorable,TRUE
2025-01,C002,L004,Utilization Mix,6,-7.23,Unfavorable,TRUE
2025-01,C002,L004,Other / Rounding,7,-9828.93,Unfavorable,TRUE
2025-01,C002,L005,Price / Yield,1,-4702.22,Unfavorable,TRUE
2025-01,C002,L005,Carrier Buy Rate,2,-3229.54,Unfavorable,TRUE
2025-01,C002,L005,Fuel Surcharge,3,-4917.39,Unfavorable,TRUE
2025-01,C002,L005,Demurrage & Detention,4,-457.23,Unfavorable,TRUE
2025-01,C002,L005,Claims Leakage,5,-144.33,Unfavorable,TRUE
2025-01,C002,L005,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C002,L005,Other / Rounding,7,-12026.49,Unfavorable,TRUE
2025-01,C002,L008,Price / Yield,1,-10213.72,Unfavorable,TRUE
2025-01,C002,L008,Carrier Buy Rate,2,-2426.87,Unfavorable,TRUE
2025-01,C002,L008,Fuel Surcharge,3,-2078.63,Unfavorable,TRUE
2025-01,C002,L008,Demurrage & Detention,4,-1727.3,Unfavorable,TRUE
2025-01,C002,L008,Claims Leakage,5,-2341.04,Unfavorable,TRUE
2025-01,C002,L008,Utilization Mix,6,-550.01,Unfavorable,TRUE
2025-01,C002,L008,Other / Rounding,7,-25454.08,Unfavorable,TRUE
2025-01,C002,L011,Price / Yield,1,-10877.28,Unfavorable,TRUE
2025-01,C002,L011,Carrier Buy Rate,2,-4062.4,Unfavorable,TRUE
2025-01,C002,L011,Fuel Surcharge,3,-2339.37,Unfavorable,TRUE
2025-01,C002,L011,Demurrage & Detention,4,-849.44,Unfavorable,TRUE
2025-01,C002,L011,Claims Leakage,5,-970.38,Unfavorable,TRUE
2025-01,C002,L011,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C002,L011,Other / Rounding,7,-12679.39,Unfavorable,TRUE
2025-01,C002,L012,Price / Yield,1,-3214.87,Unfavorable,TRUE
2025-01,C002,L012,Carrier Buy Rate,2,-262.58,Unfavorable,TRUE
2025-01,C002,L012,Fuel Surcharge,3,-195.75,Unfavorable,TRUE
2025-01,C002,L012,Demurrage & Detention,4,-221.73,Unfavorable,TRUE
2025-01,C002,L012,Claims Leakage,5,-29.32,Unfavorable,TRUE
2025-01,C002,L012,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C002,L012,Other / Rounding,7,-5167.86,Unfavorable,TRUE
2025-01,C003,L001,Price / Yield,1,-4596.05,Unfavorable,TRUE
2025-01,C003,L001,Carrier Buy Rate,2,-4617.15,Unfavorable,TRUE
2025-01,C003,L001,Fuel Surcharge,3,-3317.08,Unfavorable,TRUE
2025-01,C003,L001,Demurrage & Detention,4,-503.17,Unfavorable,TRUE
2025-01,C003,L001,Claims Leakage,5,-0.0,Favorable,TRUE
2025-01,C003,L001,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C003,L001,Other / Rounding,7,-6940.88,Unfavorable,TRUE
2025-01,C003,L002,Price / Yield,1,-4288.58,Unfavorable,TRUE
2025-01,C003,L002,Carrier Buy Rate,2,-2385.26,Unfavorable,TRUE
2025-01,C003,L002,Fuel Surcharge,3,-1605.95,Unfavorable,TRUE
2025-01,C003,L002,Demurrage & Detention,4,-728.83,Unfavorable,TRUE
2025-01,C003,L002,Claims Leakage,5,-0.0,Favorable,TRUE
2025-01,C003,L002,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C003,L002,Other / Rounding,7,-7166.37,Unfavorable,TRUE
2025-01,C003,L003,Price / Yield,1,-1250.83,Unfavorable,TRUE
2025-01,C003,L003,Carrier Buy Rate,2,-585.9,Unfavorable,TRUE
2025-01,C003,L003,Fuel Surcharge,3,-959.39,Unfavorable,TRUE
2025-01,C003,L003,Demurrage & Detention,4,-166.81,Unfavorable,TRUE
2025-01,C003,L003,Claims Leakage,5,-0.0,Favorable,TRUE
2025-01,C003,L003,Utilization Mix,6,-0.0,Favorable,TRUE
2025-01,C003,L003,Other / Rounding,7,-2713.99,Unfavorable,TRUE
2025-01,C003,L004,Price / Yield,1,-3909.05,Unfavorable,TRUE
2025-01,C003,L004,Carrier Buy Rate,2,-258.34,Unfavorable,TRUE
2025-01,C003,L004,Fuel Surcharge,3,-259.7,Unfavorable,TRUE
2025-01,C003,L004,Demurrage & Detention,4,-117.64,Unfavorable,TRUE
2025-01,C003,L004,Claims Leakage,5,-39.56,Unfavorable,TRUE
