CohortMonth,CohortLabel,ActivityMonth,MonthsSinceCohort,PlanID,ChannelID,CohortStartMRR,RetainedMRR,ExpansionMRR,ContractionMRR,StartLogos,ActiveLogos,ChurnedLogos,NetRetentionRate,GrossRetentionRate
2024-01-01,Jan 2024,2024-01-01,0,business,inbound,4957.0,4957.0,0.0,0.0,1,1,0,1.0,1.0
2024-01-01,Jan 2024,2024-02-01,1,business,inbound,4957.0,4957.0,0.0,0.0,1,1,0,1.0,1.0
2024-01-01,Jan 2024,2024-03-01,2,business,inbound,4957.0,4957.0,0.0,0.0,1,1,0,1.0,1.0
2024-01-01,Jan 2024,2024-04-01,3,business,inbound,4957.0,4770.87,0.0,186.13,1,1,0,0.9625,0.9625
2024-01-01,Jan 2024,2024-05-01,4,business,inbound,4957.0,4770.87,0.0,0.0,1,1,0,0.9625,0.9625
2024-01-01,Jan 2024,2024-06-01,5,business,inbound,4957.0,4770.87,0.0,0.0,1,1,0,0.9625,0.9625
2024-01-01,Jan 2024,2024-07-01,6,business,inbound,4957.0,5063.69,292.82,0.0,1,1,0,1.0215,0.9625
2024-01-01,Jan 2024,2024-08-01,7,business,inbound,4957.0,5529.33,465.64,0.0,1,1,0,1.1155,1.0215
2024-01-01,Jan 2024,2024-09-01,8,business,inbound,4957.0,5529.33,0.0,0.0,1,1,0,1.1155,1.1155
2024-01-01,Jan 2024,2024-10-01,9,business,inbound,4957.0,5529.33,0.0,0.0,1,1,0,1.1155,1.1155
2024-01-01,Jan 2024,2024-11-01,10,business,inbound,4957.0,5529.33,0.0,0.0,1,1,0,1.1155,1.1155
2024-01-01,Jan 2024,2024-12-01,11,business,inbound,4957.0,5529.33,0.0,0.0,1,1,0,1.1155,1.1155
2024-01-01,Jan 2024,2025-01-01,12,business,inbound,4957.0,5956.86,427.53,0.0,1,1,0,1.2017,1.1155
2024-01-01,Jan 2024,2025-02-01,13,business,inbound,4957.0,5956.86,0.0,0.0,1,1,0,1.2017,1.2017
2024-01-01,Jan 2024,2025-03-01,14,business,inbound,4957.0,5956.86,0.0,0.0,1,1,0,1.2017,1.2017
2024-01-01,Jan 2024,2025-04-01,15,business,inbound,4957.0,5956.86,0.0,0.0,1,1,0,1.2017,1.2017
2024-01-01,Jan 2024,2025-05-01,16,business,inbound,4957.0,5956.86,0.0,0.0,1,1,0,1.2017,1.2017
2024-01-01,Jan 2024,2025-06-01,17,business,inbound,4957.0,7047.55,1090.69,0.0,1,1,0,1.4217,1.2017
2024-01-01,Jan 2024,2025-07-01,18,business,inbound,4957.0,7047.55,0.0,0.0,1,1,0,1.4217,1.4217
2024-01-01,Jan 2024,2025-08-01,19,business,inbound,4957.0,7047.55,0.0,0.0,1,1,0,1.4217,1.4217
2024-01-01,Jan 2024,2025-09-01,20,business,inbound,4957.0,7047.55,0.0,0.0,1,1,0,1.4217,1.4217
2024-01-01,Jan 2024,2025-10-01,21,business,inbound,4957.0,7047.55,0.0,0.0,1,1,0,1.4217,1.4217
2024-01-01,Jan 2024,2025-11-01,22,business,inbound,4957.0,7047.55,0.0,0.0,1,1,0,1.4217,1.4217
2024-01-01,Jan 2024,2025-12-01,23,business,inbound,4957.0,7532.24,484.69,0.0,1,1,0,1.5195,1.4217
2024-01-01,Jan 2024,2026-01-01,24,business,inbound,4957.0,7532.24,0.0,0.0,1,1,0,1.5195,1.5195
2024-01-01,Jan 2024,2026-02-01,25,business,inbound,4957.0,7532.24,0.0,0.0,1,1,0,1.5195,1.5195
2024-01-01,Jan 2024,2026-03-01,26,business,inbound,4957.0,7532.24,0.0,0.0,1,1,0,1.5195,1.5195
2024-01-01,Jan 2024,2026-04-01,27,business,inbound,4957.0,7532.24,0.0,0.0,1,1,0,1.5195,1.5195
2024-01-01,Jan 2024,2026-05-01,28,business,inbound,4957.0,8215.3,683.06,0.0,1,1,0,1.6573,1.5195
2024-01-01,Jan 2024,2024-01-01,0,business,partner,5782.06,5782.06,0.0,0.0,1,1,0,1.0,1.0
2024-01-01,Jan 2024,2024-02-01,1,business,partner,5782.06,5782.06,0.0,0.0,1,1,0,1.0,1.0
2024-01-01,Jan 2024,2024-03-01,2,business,partner,5782.06,5782.06,0.0,0.0,1,1,0,1.0,1.0
2024-01-01,Jan 2024,2024-04-01,3,business,partner,5782.06,6223.35,441.29,0.0,1,1,0,1.0763,1.0
2024-01-01,Jan 2024,2024-05-01,4,business,partner,5782.06,6223.35,0.0,0.0,1,1,0,1.0763,1.0763
2024-01-01,Jan 2024,2024-06-01,5,business,partner,5782.06,6223.35,0.0,0.0,1,1,0,1.0763,1.0763
2024-01-01,Jan 2024,2024-07-01,6,business,partner,5782.06,7216.2,992.85,0.0,1,1,0,1.248,1.0763
2024-01-01,Jan 2024,2024-08-01,7,business,partner,5782.06,7216.2,0.0,0.0,1,1,0,1.248,1.248
2024-01-01,Jan 2024,2024-09-01,8,business,partner,5782.06,7216.2,0.0,0.0,1,1,0,1.248,1.248
2024-01-01,Jan 2024,2024-10-01,9,business,partner,5782.06,7216.2,0.0,0.0,1,1,0,1.248,1.248
2024-01-01,Jan 2024,2024-11-01,10,business,partner,5782.06,7216.2,0.0,0.0,1,1,0,1.248,1.248
2024-01-01,Jan 2024,2024-12-01,11,business,partner,5782.06,7216.2,0.0,0.0,1,1,0,1.248,1.248
2024-01-01,Jan 2024,2025-01-01,12,business,partner,5782.06,7787.26,571.05,0.0,1,1,0,1.3468,1.248
2024-01-01,Jan 2024,2025-02-01,13,business,partner,5782.06,7787.26,0.0,0.0,1,1,0,1.3468,1.3468
2024-01-01,Jan 2024,2025-03-01,14,business,partner,5782.06,0.0,0.0,0.0,1,0,1,0.0,0.0
2024-01-01,Jan 2024,2024-01-01,0,business,plg,6176.21,6176.21,0.0,0.0,1,1,0,1.0,1.0
