MonthStart,CustomerID,PlanID,ChannelID,RegionID,BeginningMRR,NewMRR,ExpansionMRR,ContractionMRR,ChurnMRR,EndingMRR,RecognizedRevenue,GrossMargin,Seats,StartingLogo,ActiveLogo,NewLogo,ChurnedLogo,IsSynthetic
2024-06-01,C0001,enterprise,inbound,emea,0.0,21733.0,0.0,0.0,0.0,21733.0,22075.97,18191.55,13,0,1,1,0,TRUE
2024-07-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21156.75,18078.0,21,1,1,0,0,TRUE
2024-08-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21072.66,18024.39,19,1,1,0,0,TRUE
2024-09-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21425.53,17837.89,35,1,1,0,0,TRUE
2024-10-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21856.84,18356.22,24,1,1,0,0,TRUE
2024-11-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,20930.3,17936.44,19,1,1,0,0,TRUE
2024-12-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,22181.01,18669.72,10,1,1,0,0,TRUE
2025-01-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21142.51,17480.89,20,1,1,0,0,TRUE
2025-02-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21087.57,17454.55,15,1,1,0,0,TRUE
2025-03-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21145.07,17701.09,17,1,1,0,0,TRUE
2025-04-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,21993.3,18749.72,31,1,1,0,0,TRUE
2025-05-01,C0001,enterprise,inbound,emea,21733.0,0.0,0.0,0.0,0.0,21733.0,22340.04,18192.92,30,1,1,0,0,TRUE
2025-06-01,C0001,enterprise,inbound,emea,21733.0,0.0,3577.86,0.0,0.0,25310.86,25196.62,21039.98,32,1,1,0,0,TRUE
2025-07-01,C0001,enterprise,inbound,emea,25310.86,0.0,0.0,0.0,0.0,25310.86,25153.98,20812.31,40,1,1,0,0,TRUE
2025-08-01,C0001,enterprise,inbound,emea,25310.86,0.0,0.0,0.0,0.0,25310.86,25751.0,21662.16,25,1,1,0,0,TRUE
2025-09-01,C0001,enterprise,inbound,emea,25310.86,0.0,0.0,0.0,0.0,25310.86,25264.53,22161.37,36,1,1,0,0,TRUE
2025-10-01,C0001,enterprise,inbound,emea,25310.86,0.0,5511.94,0.0,0.0,30822.81,31411.97,25909.73,32,1,1,0,0,TRUE
2025-11-01,C0001,enterprise,inbound,emea,30822.81,0.0,0.0,0.0,0.0,30822.81,31395.51,27555.35,27,1,1,0,0,TRUE
2025-12-01,C0001,enterprise,inbound,emea,30822.81,0.0,6134.12,0.0,-36956.93,0.0,0.0,0.0,3,1,0,0,1,TRUE
2024-03-01,C0002,starter,plg,na,0.0,707.43,0.0,0.0,0.0,707.43,691.51,524.87,28,0,1,1,0,TRUE
2024-04-01,C0002,starter,plg,na,707.43,0.0,0.0,0.0,0.0,707.43,725.59,550.46,24,1,1,0,0,TRUE
2024-05-01,C0002,starter,plg,na,707.43,0.0,0.0,0.0,0.0,707.43,708.02,551.78,23,1,1,0,0,TRUE
2024-06-01,C0002,starter,plg,na,707.43,0.0,0.0,0.0,0.0,707.43,723.08,550.75,12,1,1,0,0,TRUE
2024-07-01,C0002,starter,plg,na,707.43,0.0,0.0,0.0,0.0,707.43,685.67,525.35,18,1,1,0,0,TRUE
2024-08-01,C0002,starter,plg,na,707.43,0.0,0.0,0.0,0.0,707.43,698.4,558.85,26,1,1,0,0,TRUE
2024-09-01,C0002,starter,plg,na,707.43,0.0,47.8,0.0,0.0,755.23,732.33,565.7,8,1,1,0,0,TRUE
2024-10-01,C0002,starter,plg,na,755.23,0.0,0.0,0.0,0.0,755.23,751.65,573.8,29,1,1,0,0,TRUE
2024-11-01,C0002,starter,plg,na,755.23,0.0,0.0,0.0,0.0,755.23,768.86,606.73,8,1,1,0,0,TRUE
2024-12-01,C0002,starter,plg,na,755.23,0.0,0.0,0.0,0.0,755.23,777.62,583.25,29,1,1,0,0,TRUE
2025-01-01,C0002,starter,plg,na,755.23,0.0,78.19,0.0,0.0,833.42,854.87,663.42,38,1,1,0,0,TRUE
2025-02-01,C0002,starter,plg,na,833.42,0.0,0.0,0.0,0.0,833.42,822.09,623.61,31,1,1,0,0,TRUE
2025-03-01,C0002,starter,plg,na,833.42,0.0,132.07,0.0,0.0,965.49,941.72,734.11,40,1,1,0,0,TRUE
2025-04-01,C0002,starter,plg,na,965.49,0.0,0.0,0.0,0.0,965.49,978.18,728.06,22,1,1,0,0,TRUE
2025-05-01,C0002,starter,plg,na,965.49,0.0,0.0,0.0,0.0,965.49,963.53,747.77,13,1,1,0,0,TRUE
2025-06-01,C0002,starter,plg,na,965.49,0.0,0.0,0.0,0.0,965.49,974.71,708.64,21,1,1,0,0,TRUE
