campaign_key,campaign_name,channel,paid_organic,funnel_stage,spend,revenue,gross_profit,clicks,conversions,new_customers,roas,marketing_roi,cac,conversion_rate,scale_score,action
CP001,Google Search - Brand Capture,Google Search,Paid,Consideration,557591.57,1593862.44,970865.33,295229,7211,4366,2.8584765727358468,0.741176485146646,127.71222400366467,0.024425107289595533,60.434782608695656,Optimize
CP002,Google Search - Nonbrand Intent,Google Search,Paid,Awareness,558048.33,1577918.79,958629.39,295899,7178,4392,2.827566547865129,0.7178250313910984,127.0601844262295,0.024258277317598234,57.826086956521735,Optimize
CP003,Google Search - Competitor Defense,Google Search,Paid,Conversion,445259.73,1220248.67,750061.92,235095,5518,3379,2.7405322956109237,0.6845491955897294,131.77263391535956,0.023471362640634638,51.30434782608696,Optimize
CP004,Meta - Prospecting Video,Meta,Paid,Consideration,361194.54,199617.05,121166.72,260378,1205,890,0.5526579942210643,-0.6645388936388684,405.8365617977528,0.004627887148683837,38.26086956521739,Optimize
CP005,Meta - Retargeting Carousel,Meta,Paid,Awareness,280950.47,148849.1,91031.5,201991,897,680,0.5298054849312052,-0.675987372436145,413.1624558823529,0.004440791916471526,30.434782608695656,Review/Cut
CP006,Meta - Lookalike Launch,Meta,Paid,Conversion,375518.42,203909.47,124858.48,269930,1224,879,0.5430079035803357,-0.6675037139323285,427.210944254835,0.004534508946763976,33.913043478260875,Review/Cut
CP007,TikTok - Creator Spark,TikTok,Paid,Consideration,178775.44,57071.49,34782.16,162543,438,352,0.31923562878659395,-0.8054421793060612,507.8847727272727,0.00269467156383234,18.69565217391304,Review/Cut
CP008,TikTok - Trend Trial,TikTok,Paid,Awareness,217089.72,69088.95,41924.96,197592,530,419,0.3182506753428951,-0.8068772671501903,518.1138902147972,0.002682294829750192,15.217391304347828,Review/Cut
CP009,LinkedIn - Enterprise Lead Gen,LinkedIn,Paid,Consideration,143340.07,51971.52,31758.28,27339,112,63,0.36257495897692804,-0.7784410179233204,2275.2392063492066,0.004096711657339332,20.869565217391305,Review/Cut
CP010,LinkedIn - ABM Retargeting,LinkedIn,Paid,Awareness,144088.69,48104.62,29532.63,27445,106,63,0.3338542393577178,-0.7950385280066048,2287.1220634920637,0.0038622699945345235,16.521739130434785,Review/Cut
CP011,Programmatic Display - Awareness Display,Programmatic Display,Paid,Consideration,140079.64,42400.97,25997.09,201288,289,224,0.3026918829888483,-0.8144120730178919,625.3555357142858,0.001435753745876555,9.565217391304348,Review/Cut
CP012,Programmatic Display - Contextual Display,Programmatic Display,Paid,Awareness,127601.63,37038.26,22909.31,183694,255,204,0.2902647873698792,-0.8204622464462249,625.4981862745099,0.0013881781658627937,5.217391304347827,Review/Cut
CP013,Affiliates - Coupon Partners,Affiliates,Paid,Consideration,93325.13,216013.32,131661.23,85105,1194,741,2.3146318681795566,0.410780033202204,125.94484480431849,0.014029727983079726,48.69565217391305,Optimize
CP014,Affiliates - Review Partners,Affiliates,Paid,Awareness,68756.33,155267.2,95084.09,62569,867,546,2.25822407915024,0.3829139804291473,125.92734432234433,0.01385670220077035,45.21739130434783,Optimize
CP015,Organic Search - SEO Content Hub,Organic Search,Organic,Consideration,36268.44,909859.11,555915.41,103751,4296,2395,25.08680025939908,14.32780042372928,15.143398747390398,0.04140682981368854,66.52173913043478,Optimize
CP016,Organic Search - Product Landing SEO,Organic Search,Organic,Awareness,46456.49,1168950.86,713134.72,133240,5554,2960,25.162272483349476,14.350594072001565,15.694760135135134,0.04168417892524767,70.0,Optimize
CP017,Email - Lifecycle Nurture,Email,Organic,Consideration,18117.44,987832.49,601872.81,90814,6388,2181,54.52384498030627,32.2206321643676,8.306941769830352,0.07034157728984518,86.95652173913044,Scale
CP018,Email - Winback Offers,Email,Organic,Awareness,24352.47,1264491.29,773276.33,121609,8162,2760,51.92456001383022,30.753507139111555,8.823358695652175,0.06711674300421844,84.78260869565219,Scale
CP019,Direct - Brand Demand,Direct,Organic,Consideration,33980.09,2051265.47,1250716.4,189851,10451,4132,60.36668737487158,35.80733041024906,8.223642303969022,0.0550484327182896,95.21739130434783,Scale
CP020,Direct - Returning Visitors,Direct,Organic,Awareness,32421.82,1967409.65,1198867.25,179822,10060,4015,60.681653590082234,35.9771730889876,8.075173100871732,0.055944211498036946,98.69565217391305,Scale
CP021,Referral Partners - Partner Co-Marketing,Referral Partners,Organic,Consideration,52509.24,1459144.04,886516.45,105450,5810,2987,27.788329063608614,15.883056201156215,17.5792567793773,0.05509720246562352,78.69565217391305,Scale
CP022,Referral Partners - Strategic Referrals,Referral Partners,Organic,Awareness,42066.73,1154032.77,702364.07,84511,4610,2378,27.433384292052175,15.696426606013825,17.689962153069807,0.05454911194992368,70.0,Optimize
CP023,Referral Partners - Webinar Referrals,Referral Partners,Organic,Conversion,56018.03,1541535.39,941400.23,112835,6149,3227,27.518557685802232,15.805307683972464,17.35916640842888,0.05449550228209332,76.95652173913044,Scale
