date_id,entity_id,business_unit_id,scenario_id,account_id,currency,amount_local,amount_usd,fx_rate_to_usd,quantity_teu_or_orders,is_synthetic
2025-01,SGP01,FF,ACT,REV_EXT,SGD,724999.06,537731.63,0.74169976,333,TRUE
2025-01,SGP01,FF,ACT,REV_IC,SGD,23471.33,17408.68,0.74169976,296,TRUE
2025-01,SGP01,FF,ACT,COGS,SGD,-535232.3,-396981.67,0.74169976,191,TRUE
2025-01,SGP01,FF,ACT,PERS,SGD,-62819.31,-46593.07,0.74169976,314,TRUE
2025-01,SGP01,FF,ACT,FAC,SGD,-24033.81,-17825.87,0.74169976,253,TRUE
2025-01,SGP01,FF,ACT,SM,SGD,-21911.16,-16251.5,0.74169976,169,TRUE
2025-01,SGP01,FF,ACT,GA,SGD,-14213.7,-10542.3,0.74169976,169,TRUE
2025-01,SGP01,FF,ACT,DEP,SGD,-13286.13,-9854.32,0.74169976,176,TRUE
2025-01,SGP01,FF,ACT,INT,SGD,-6290.6,-4665.74,0.74169976,169,TRUE
2025-01,SGP01,FF,ACT,TAX,SGD,-8498.17,-6303.09,0.74169976,352,TRUE
2025-01,SGP01,FF,BUD,REV_EXT,SGD,726201.06,540727.13,0.744597,352,TRUE
2025-01,SGP01,FF,BUD,REV_IC,SGD,25336.27,18865.31,0.744597,229,TRUE
2025-01,SGP01,FF,BUD,COGS,SGD,-499694.18,-372070.78,0.744597,184,TRUE
2025-01,SGP01,FF,BUD,PERS,SGD,-57574.97,-42870.15,0.744597,188,TRUE
2025-01,SGP01,FF,BUD,FAC,SGD,-24223.1,-18036.45,0.744597,359,TRUE
2025-01,SGP01,FF,BUD,SM,SGD,-20382.84,-15177.0,0.744597,334,TRUE
2025-01,SGP01,FF,BUD,GA,SGD,-13269.0,-9880.06,0.744597,185,TRUE
2025-01,SGP01,FF,BUD,DEP,SGD,-12995.84,-9676.66,0.744597,221,TRUE
2025-01,SGP01,FF,BUD,INT,SGD,-6553.83,-4879.96,0.744597,233,TRUE
2025-01,SGP01,FF,BUD,TAX,SGD,-16471.32,-12264.49,0.744597,251,TRUE
2025-01,SGP01,FF,FCST,REV_EXT,SGD,833469.04,619028.96,0.7427138,195,TRUE
2025-01,SGP01,FF,FCST,REV_IC,SGD,33213.01,24667.76,0.7427138,400,TRUE
2025-01,SGP01,FF,FCST,COGS,SGD,-614362.26,-456295.33,0.7427138,205,TRUE
2025-01,SGP01,FF,FCST,PERS,SGD,-69166.86,-51371.18,0.7427138,252,TRUE
2025-01,SGP01,FF,FCST,FAC,SGD,-29581.1,-21970.29,0.7427138,209,TRUE
2025-01,SGP01,FF,FCST,SM,SGD,-26615.3,-19767.55,0.7427138,311,TRUE
2025-01,SGP01,FF,FCST,GA,SGD,-14902.39,-11068.21,0.7427138,309,TRUE
